"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\projects\cylinderManagement\src\app\modules\report\report.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\report\report.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\projects\cylinderManagement\src\app\modules\report\report.module.ts", "TypeScript", 0, 14, 0, 0, 4, 18
"c:\projects\cylinderManagement\src\app\modules\request\components\list-old-request\list-old-request.component.html", "HTML", 0, 0, 19, 0, 1, 20
"c:\projects\cylinderManagement\src\app\modules\request\components\list-old-request\list-old-request.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\request\components\list-old-request\list-old-request.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\request\components\list-old-request\list-old-request.component.ts", "TypeScript", 0, 27, 0, 0, 5, 32
"c:\projects\cylinderManagement\src\app\modules\request\pages\list-patient\list-patient.component.html", "HTML", 0, 0, 22, 0, 1, 23
"c:\projects\cylinderManagement\src\app\modules\request\pages\list-patient\list-patient.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\request\pages\list-patient\list-patient.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\request\pages\list-patient\list-patient.component.ts", "TypeScript", 0, 19, 0, 0, 5, 24
"c:\projects\cylinderManagement\src\app\modules\request\pages\list-requests\list-requests.component.html", "HTML", 0, 0, 26, 0, 3, 29
"c:\projects\cylinderManagement\src\app\modules\request\pages\list-requests\list-requests.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\request\pages\list-requests\list-requests.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\request\pages\list-requests\list-requests.component.ts", "TypeScript", 0, 29, 0, 0, 6, 35
"c:\projects\cylinderManagement\src\app\modules\request\pages\new-request\new-request.component.html", "HTML", 0, 0, 36, 0, 1, 37
"c:\projects\cylinderManagement\src\app\modules\request\pages\new-request\new-request.component.scss", "SCSS", 3, 0, 0, 0, 1, 4
"c:\projects\cylinderManagement\src\app\modules\request\pages\new-request\new-request.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\request\pages\new-request\new-request.component.ts", "TypeScript", 0, 78, 0, 0, 10, 88
"c:\projects\cylinderManagement\src\app\modules\request\pages\process-request\process-request.component.html", "HTML", 0, 0, 43, 0, 5, 48
"c:\projects\cylinderManagement\src\app\modules\request\pages\process-request\process-request.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\request\pages\process-request\process-request.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\request\pages\process-request\process-request.component.ts", "TypeScript", 0, 91, 0, 0, 15, 106
"c:\projects\cylinderManagement\src\app\modules\request\request-routing.module.ts", "TypeScript", 0, 18, 0, 0, 3, 21
"c:\projects\cylinderManagement\src\app\modules\request\request.module.ts", "TypeScript", 0, 27, 0, 0, 4, 31
"c:\projects\cylinderManagement\src\app\shared\api.service.ts", "TypeScript", 0, 49, 0, 0, 11, 60
"c:\projects\cylinderManagement\src\app\shared\base-service.ts", "TypeScript", 0, 86, 0, 0, 16, 102
"c:\projects\cylinderManagement\src\app\shared\collection.ts", "TypeScript", 0, 45, 0, 0, 6, 51
"c:\projects\cylinderManagement\src\app\shared\constants.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"c:\projects\cylinderManagement\src\app\shared\cylinder.service.ts", "TypeScript", 0, 41, 0, 0, 4, 45
"c:\projects\cylinderManagement\src\app\shared\patient-store.service.ts", "TypeScript", 0, 69, 0, 0, 7, 76
"c:\projects\cylinderManagement\src\app\shared\request.service.ts", "TypeScript", 0, 28, 0, 10, 9, 47
"c:\projects\cylinderManagement\src\app\shared\snack-bar.service.ts", "TypeScript", 0, 11, 0, 0, 4, 15
"c:\projects\cylinderManagement\src\app\shared\utilities\components\patient-table\patient-table.component.html", "HTML", 0, 0, 55, 0, 1, 56
"c:\projects\cylinderManagement\src\app\shared\utilities\components\patient-table\patient-table.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\shared\utilities\components\patient-table\patient-table.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\shared\utilities\components\patient-table\patient-table.component.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"c:\projects\cylinderManagement\src\app\shared\utilities\search.pipe.ts", "TypeScript", 0, 15, 0, 0, 2, 17
"c:\projects\cylinderManagement\src\app\shared\utilities\utilities.module.ts", "TypeScript", 0, 15, 0, 0, 4, 19
"c:\projects\cylinderManagement\src\app\shared\ward-store.service.ts", "TypeScript", 0, 44, 0, 0, 4, 48
"Total", "-", 15, 2248, 728, 28, 494, 3513
